iter	Logloss	F1:use_weights=true	F1:use_weights=false
0	0.6855800445	0.591070163	0.5160891089
1	0.6778366907	0.5690280695	0.5113246397
2	0.6710117299	0.5731500659	0.5121130552
3	0.6638406136	0.551560648	0.5010768126
4	0.6576004557	0.5546351085	0.5041233417
5	0.6519998743	0.5613216715	0.5075571178
6	0.6466136401	0.556191981	0.5062927005
7	0.6418690837	0.5593253579	0.5078347578
8	0.6371374575	0.5589041096	0.5067423705
9	0.6325309626	0.558597597	0.5082437276
10	0.6283217854	0.5565493938	0.5085361424
11	0.6239576406	0.5554445554	0.5087847731
12	0.6203729727	0.5556666	0.5091575092
13	0.6167777887	0.5561112222	0.5099046222
14	0.6131636441	0.5543521861	0.5086492455
15	0.6097207968	0.5561112222	0.5099046222
16	0.6064991764	0.5537968343	0.5077149155
17	0.6037040353	0.5559566787	0.5104972376
18	0.6006583387	0.5610823717	0.5140357273
19	0.5978994943	0.5610823717	0.5140357273
20	0.5951764449	0.5630101533	0.5164353543
21	0.5926522126	0.5633578675	0.5165997811
22	0.5909589483	0.5622266402	0.5151183971
23	0.5887072557	0.5600159776	0.5139296188
24	0.5866969783	0.5626740947	0.5158701204
25	0.5850779338	0.5641636869	0.5171158048
26	0.5830221392	0.5642857143	0.5169029444
27	0.581036428	0.5638276752	0.5165514733
28	0.5792404867	0.566343682	0.5182772349
29	0.5771815498	0.5647617164	0.5164556962
30	0.5755934574	0.5638487428	0.5157551612
31	0.5737343759	0.5689485106	0.5205776173
32	0.5722621656	0.5698478562	0.5220854453
33	0.5706160337	0.5690574985	0.5211726384
34	0.5690893594	0.5691699605	0.5213613324
35	0.5678632678	0.5673590504	0.5195652174
36	0.5664158979	0.5670225386	0.5190010858
37	0.565108048	0.5686080948	0.5204192266
38	0.563853491	0.5687241175	0.5202020202
39	0.5626110098	0.5698522167	0.5212689257
40	0.561360771	0.5687241175	0.5202020202
41	0.5603577214	0.5706403941	0.5221781464
42	0.5592173146	0.5726647001	0.523929471
43	0.558288548	0.574121343	0.5251436782
44	0.5574776547	0.5788133934	0.5297491039
45	0.5565556323	0.5790401567	0.5301291248
46	0.5555440018	0.5792563601	0.5300859599
47	0.5546040639	0.5814771395	0.5321888412
48	0.5536066767	0.5810361681	0.5318539728
49	0.5526506662	0.5812634461	0.532234957
50	0.5517437253	0.5810361681	0.5318539728
51	0.5511547445	0.5829106516	0.5333809354
52	0.5503699258	0.5839017735	0.5342368046
53	0.5498280039	0.5834633385	0.533904354
54	0.5489483628	0.5844535359	0.5347593583
55	0.548239761	0.5841294599	0.5346181299
56	0.5474780136	0.5836909871	0.5342857143
57	0.5469765227	0.5835771406	0.5340949661
58	0.5464192902	0.5836909871	0.5342857143
59	0.5460520248	0.584357324	0.535
60	0.5453292758	0.584357324	0.535
61	0.5446390157	0.5872059109	0.537366548
62	0.5441743707	0.5866562926	0.5368458526
63	0.54358442	0.5869776482	0.5369843528
64	0.5430015836	0.5881668283	0.5377793544
65	0.5425779111	0.5901005414	0.5390321441
66	0.5419808545	0.5908739366	0.5399293286
67	0.5413363708	0.5909617613	0.5396825397
68	0.5407169126	0.5930210141	0.5415492958
69	0.5402143735	0.5933346176	0.5416813225
70	0.5396849765	0.5937921727	0.5424445227
71	0.5391079799	0.5955315871	0.5441745864
72	0.5385856655	0.5946466397	0.543088287
73	0.5382038165	0.5948441708	0.5430277485
74	0.5376526555	0.5962351133	0.5441795231
75	0.5372191609	0.5970836531	0.5448179272
76	0.5368471611	0.5985037406	0.5464098074
77	0.5363476873	0.5977364282	0.5455182073
78	0.535993318	0.5990412272	0.5469187675
79	0.535696802	0.598274209	0.5460273014
80	0.5353231777	0.5990042129	0.5464709993
81	0.5348691001	0.5975866692	0.5448829899
82	0.5343750351	0.6001529052	0.5472289997
83	0.533854271	0.6005730659	0.5475444096
84	0.5332812994	0.6016819572	0.5490059295
85	0.5326523798	0.6018713004	0.5489376524
86	0.5322497537	0.6022900763	0.5492516533
87	0.5318246017	0.6025200458	0.5496342738
88	0.5315722761	0.6033136545	0.5498090941
89	0.5310550428	0.6058532877	0.552130239
90	0.5307162667	0.6058532877	0.552130239
91	0.5304676464	0.6053231939	0.5516285516
92	0.5301422757	0.6057381721	0.5519390582
93	0.5296719671	0.606613455	0.553014553
94	0.5292615943	0.6066818527	0.5527499135
95	0.528875977	0.6075564838	0.5538248529
96	0.5286091849	0.6070954278	0.5530591082
97	0.5283061069	0.6074411541	0.553633218
98	0.5280976224	0.6074411541	0.553633218
99	0.5277957115	0.6074411541	0.553633218
